titre,auteur,localisation,code barre,cote,nombre de prets
01net : le magazine de la High-Tech plaisir,,PERIOS,114730602,,
01net : le magazine de la High-Tech plaisir,,PERIOS,114370602,,
Marie-Claire,dir. Jean Prouvost,PERIOS,115900602,,2
Marie-Claire,dir. Jean Prouvost,PERIOS,117260602,.,
01net : le magazine de la High-Tech plaisir,,PERIOS,117270602,.,
01net : le magazine de la High-Tech plaisir,,PERIOS,115510602,.,
Les insectes,[illustré par Nadia Taylor],DOCPETITS,117200602,.,3
Ouaf !,illustrations de Marina Solodkaya,DOCPETITS,117220602,.,1
La fille aux neuf perruques,Sophie Van der Stap,ADU1R,3295500851596,(B) R VAN,4
Nicole : et Franky. ,,ESA,32955003073464,(BD),0
Autre chose,,ESA,32955003073191,(BD),1
Röhner,Max Baitinger,ESA,32955003072631,(BD) BAI,1
La mer à boire,Blutch,ESA,32955003072599,(BD) BLU,1
Dédales,[Charles Burns],ESA,32955003073159,(BD) BUR,1
La cendre et l'écume,Ludovic Debeurme,ESA,32955003072607,(BD) DEB,0
Naturellement,[texte et dessins de] Yannis La Macchia,ESA,32955003072474,(BD) LAM,1
Des bâtisseurs,Yannis La Macchia,ESA,32955003072482,(BD) LAM,1
Les six fonctions du langage,un roman photo de Clémentine Mélois,ESA,32955003069330,(BD) MEL,2
L' Éléphant,Isabelle Pralong,ESA,32955003073134,(BD) PRA,1
Les danses de Saint-Elme,scénario de Pierre Gabus ,ESA,32955003072672,(BD) REU,0
Le trésor mathématique de Polybius,Pedro Stoïchita,ESA,32955003072714,(BD) STO,2
Imagier,Hippolyte Hentgen,ESA,32955003073357,(blanc  / noir) HEN,0
Diane Arbus,[textes et photographies de Diane Arbus],ESA,32955003072441,(blanc / jaune) .ARB,0
Roger Ballen,introduction de Dominique Eddé,ESA,32955003072839,(blanc / jaune) .BAL,1
Franco & moi,"[texte et photographies], Patrick Cockpit",ESAR,32955003072110,(blanc / jaune) .COC,0
Les photos qu'elle ne montre à personne,"[photographies], Katrien De Blauwer",ESA,32955003072888,(blanc / jaune) .DEB,3
Thomas Demand,[Commissaire] Douglas Fogle,ESA,32955003072854,(blanc / jaune) .DEM,0
Erase. The past,[texte Michael Rutschky],ESA,32955003001945,(blanc / jaune) .GER,0
"Un livre, des pages, des pages, un livre",[photographies de] Mathieu Harel-Vivier,ESA,32955003073274,(blanc / jaune) .HAR,0
Guillaume Janot,"[Eva Prouteau, texte]",ESAR,32955003067995,(blanc / jaune) .JAN,0
Justice,[photographies de] Thomas Klotz,ESAR,32955003072144,(blanc / jaune) .KLO,0
 L' Image,"Jacques Aumont,...",ESAR,32955003003693,(blanc / jaune) AUM,0
"Flou, une histoire photographique",[catalogue] sous la direction de Pauline Martin,ESA,32955003072466,(blanc / jaune) C FLO,1
La photographie contemporaine,"Christian Gattinoni, Yannick Vigouroux",ESA,32955003073241,(blanc / jaune) G CON,0
La photographie contemporaine,Michel Poivert,ESAR,32955003073019,(blanc / jaune) G CON,0
Les fictions documentaires en photographie,"Christian Gattinoni, Yannick Vigouroux",ESA,32955003072821,(blanc / jaune) G FIC,0
Degas en noir et blanc,,ESA,32955003073175,(blanc / noir) DEG,0
Ludovic Paquelier,textes Madeleine Aktypi,ESA,32955003073225,(blanc / noir) PAQ,0
Les temps de l'image,sous la direction de Jean-Marie Schaeffer,ESA,32955003072938,(blanc),0
Lectures obliques,sous la direction de Louise Déry et Nicole Gingras,ESAR,32955003027551,(blanc),0
Histoire de l'intime,Philippe Artières,ESA,32955003072557,(blanc) ART,0
L'attitude de la Pictures generation,François Aubart,ESA,32955003073381,(blanc) AUB,1
Art et société,Roger Bastide...,ESAR,32955003042428,(blanc) BAS,0
 La  Vie de peintre d'Édouard Manet,Pierre Daix,ESAR,32955003040638,(blanc) DAI,0
La syntaxe de l'image,Donis A. Dondis,ESA,32955003073324,(blanc) DON,0
Créativités artificielles,sous la direction d'Alexandre Gefen,ESA,32955003072797,(blanc) GEF,0
 De l' Art ou du cochon,Marie-Christine Hugonot,ESAR,32955003042949,(blanc) HUG,0
Critique de la faculté de juger,Emmanuel Kant,ESAR,32955004538747,(blanc) KAN,0
Psychologie de la forme,Wolfgang Kölher,ESAR,32955003073043,(blanc) KÖH,0
Signé Malraux,Jean-François Lyotard,ESAR,32955003014310,(blanc) LYO,1
" L' artiste, l'institution et le marché",Raymonde Moulin,ESAR,32955004537020,(blanc) MOU,0
Culture visuelle,"Andrea Pinotti, Antonio Somaini",ESA,32955003072813,(blanc) PIN,0
 La  Métamorphose des medias,Philippe Rivière et Laurent Danchin,ESAR,32955003018220,(blanc) RIV,0
La révolution psychanalytique,Marthe Robert,ESA,32955003072276,(blanc) ROB,0
La révolution psychanalytique,Marthe Robert,ESA,32955003072284,(blanc) ROB,0
" Le  Lettrisme, les créations et les créateurs",Roland Sabatier,ESAR,32955004535016,(blanc) SAB,0
Éléments d'esthétique,"Pierre Sauvanet,...",ESA,32955003072979,(blanc) SAU,0
